Date,home_team,away_team,home_score,away_score,elo_home,elo_away,elo_diff,home_form_wins,home_form_draws,home_form_losses,home_form_gf,home_form_ga,home_form_gd,away_form_wins,away_form_draws,away_form_losses,away_form_gf,away_form_ga,away_form_gd,outcome
1954-06-20,Italy,Belgium,4,1,1615.1531159853766,1414.6117307882444,200.54138519713229,3,0,2,11,8,3,0,1,4,7,16,-9,1
1954-06-23,Switzerland,Italy,4,1,1488.9276492330973,1628.5754581224342,-139.64780888933683,2,1,2,6,9,-3,3,0,2,13,8,5,1
1954-06-23,Germany,Turkey,7,2,1506.6761252707172,1506.4869010731393,0.1892241975779143,2,1,2,13,16,-3,1,0,1,8,4,4,1
1954-06-26,Switzerland,Austria,5,7,1527.6126331738722,1548.895028995958,-21.282395822085846,3,1,1,10,7,3,3,0,2,10,5,5,-1
1954-06-26,Uruguay,England,4,2,1681.1061464027814,1514.7031620479045,166.40298435487693,4,1,0,16,5,11,2,1,2,8,6,2,1
1954-06-27,Hungary,Brazil,4,2,1624.2901538246372,1625.339402520343,-1.049248695705728,4,0,1,26,8,18,3,1,1,20,5,15,1
1954-06-27,Germany,Yugoslavia,2,0,1537.8591327845509,1551.0135501247014,-13.15441734015053,2,1,2,17,16,1,3,1,1,9,4,5,1
1954-06-30,Germany,Austria,6,1,1562.7673737994805,1571.4267291946398,-8.65935539515931,3,0,2,18,15,3,3,0,2,15,9,6,1
1954-06-30,Hungary,Uruguay,4,2,1648.3626331364605,1694.4165624446623,-46.05392930820176,4,0,1,28,10,18,5,0,0,18,5,13,1
1954-07-03,Austria,Uruguay,3,1,1539.449272966673,1667.253772014257,-127.80449904758393,3,0,2,16,14,2,4,0,1,17,7,10,1
1954-07-04,Germany,Hungary,3,2,1594.7448300274473,1675.5254235668658,-80.78059353941853,4,0,1,22,12,10,4,0,1,27,11,16,1
1958-06-08,Sweden,Mexico,3,0,1502.6503181825506,1350.7445746229214,151.90574355962917,2,1,2,11,15,-4,0,0,5,4,18,-14,1
1958-06-08,Northern Ireland,Czechoslovakia,1,0,1500.0,1493.872783407569,6.127216592431068,0,0,0,0,0,0,1,1,3,5,10,-5,1
1958-06-08,Hungary,Wales,1,1,1655.8709555603973,1500.0,155.8709555603973,4,0,1,27,10,17,0,0,0,0,0,0,0
1958-06-08,Brazil,Austria,3,0,1601.2669232085195,1571.8999250602203,29.366998148299217,2,1,2,15,8,7,4,0,1,17,12,5,1
1958-06-08,Soviet Union,England,2,2,1500.0,1501.3927460060236,-1.3927460060235717,0,0,0,0,0,0,1,1,3,8,10,-2,0
1958-06-08,France,Paraguay,7,3,1480.1500551631161,1475.7751118078372,4.374943355278901,2,0,3,9,10,-1,1,1,2,3,7,-4,1
